Ursprunglig namnsträng,Matchstatus,TaxonId,Vetenskapligt namn,AbunUppland,Svenskt namn,Synonymer
Trastsångare,Exact,100003,Acrocephalus arundinaceus,55,trastsångare,"Turdus arundinaceus Linnaeus, 1758"
Busksångare,Exact,103077,Acrocephalus dumetorum,8,busksångare,
Kärrsångare,Exact,103005,Acrocephalus palustris,200,kärrsångare,"Motacilla s. Sylvia palustris Bechstein, 1798"
Sävsångare,Exact,103004,Acrocephalus schoenobaenus,14000,sävsångare,"Motacilla Schoenobaenus Linnaeus, 1758"
Rörsångare,ManualSelection,103006,Acrocephalus scirpaceus,40000,rörsångare,"Turdus scirpaceus Hermann, 1804"
Stjärtand,Exact,100006,Anas acuta,2,stjärtand,
Skedand,Exact,102106,Anas clypeata,290,skedand,"Spatula clypeata (Linnaeus, 1758)"
Kricka,Exact,102932,Anas crecca,3100,"kricka, Common Teal",
Bläsand,Exact,102931,Anas penelope,15,bläsand,"Mareca penelope (Linnaeus, 1758)"
Gräsand,Exact,102933,Anas platyrhynchos,13000,gräsand,
Årta,Exact,100007,Anas querquedula,40,årta,"Spatula querquedula (Linnaeus, 1758)"
Snatterand,Exact,102105,Anas strepera,440,snatterand,"Mareca strepera (Linnaeus, 1758)"
Grågås,Exact,102928,Anser anser,4000,grågås,"Anas Anser Linnaeus, 1758"
Ängspiplärka,Exact,102983,Anthus pratensis,6300,ängspiplärka,"Alauda pratensis Linnaeus, 1758"
Gråhäger,Exact,100012,Ardea cinerea,1000,"gråhäger, häger",
Jorduggla,Exact,102117,Asio flammeus,2,jorduggla,"Strix Flammea Pontoppidan, 1763"
Hornuggla,Exact,102975,Asio otus,620,hornuggla,"Strix Otus Linnaeus, 1758"
Brunand,Exact,102107,Aythya ferina,130,brunand,"Anas ferina Linnaeus, 1758"
Vigg,Exact,102934,Aythya fuligula,2900,vigg,"Anas Fuligula Linnaeus, 1758"
Rördrom,Exact,100018,Botaurus stellaris,120,rördrom,"Ardea stellaris Linnaeus, 1758"
Kanadagås,Exact,102929,Branta canadensis,1800,kanadagås,"Anas canadensis Linnaeus, 1758"
Vitkindad gås,Exact,100019,Branta leucopsis,450,vitkindad gås,"Anas leucopsis Bechstein, 1803"
Knipa,Exact,102937,Bucephala clangula,4800,knipa,"Anas Clangula Linnaeus, 1758"
kärrsnäppa (sydlig),ManualSelection,205617,Calidris alpina,0,kärrsnäppa,"Tringa alpina Linnaeus, 1758 subspecie schinzii"
Brushane,Exact,100103,Calidris pugnax,0,brushane,"Tringa pugnax Linnaeus, 1758; Philomachus pugnax (Linnaeus, 1758); Høvu?kambur"
Rosenfink,Exact,103051,Carpodacus erythrinus,850,rosenfink,"Loxia erythrina Pallas, 1770"
Mindre strandpipare,Exact,100028,Charadrius dubius,100,mindre strandpipare,
Större strandpipare,Exact,102951,Charadrius hiaticula,140,större strandpipare,
Svarttärna,Exact,100030,Chlidonias niger,30,svarttärna,"Sterna nigra Linnaeus, 1758"
Skrattmås,Exact,102963,Chroicocephalus ridibundus,12000,skrattmås,"Larus ridibundus Linnaeus, 1766; Larus ridibundus Linnaeus, 1766"
Vit stork,Exact,100031,Ciconia ciconia,0,vit stork,"Ardea Ciconia Linnaeus, 1758"
Brun kärrhök,Exact,100033,Circus aeruginosus,210,"brun kärrhök, brunhök","Falco aeruginosus Linnaeus, 1758"
Blå kärrhök,Exact,100034,Circus cyaneus,0,blå kärrhök,"Falco cyaneus Linnaeus, 1766"
Ängshök,Exact,100035,Circus pygargus,5,ängshök,"Falco Pygargus Linnaeus, 1758"
Kornknarr,Exact,100044,Crex crex,400,kornknarr,"Rallus Crex Linnaeus, 1758"
Sångsvan,Exact,100045,Cygnus cygnus,120,sångsvan,"Anas Cygnus Linnaeus, 1758"
Knölsvan,Exact,102927,Cygnus olor,2100,knölsvan,"Anas olor J.F.Gmelin, 1789"
Sävsparv,Exact,103057,Emberiza schoeniclus,15000,sävsparv,"Fringilla Schoeniclus Linnaeus, 1758"
Sothöna,Exact,102949,Fulica atra,6800,sothöna,
